year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Brazil,exported_to,Paraguay,051000,"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",kg,7481.0,7481.0,11340
2023,Brazil,exported_to,Paraguay,051110,Animal products; bovine semen,kg,199.121,201.0,741559
2023,Brazil,exported_to,Paraguay,051199,Animal products; n.e.c. in chapter 5,kg,4198466.278,4198466.278,29627159
2023,Brazil,exported_to,Paraguay,060210,"Plants, live; unrooted cuttings and slips",u,53300.0,57.0,5330
2023,Brazil,exported_to,Paraguay,060290,"Plants, live; n.e.c. in heading no. 0602",,0.0,,25684
2023,Brazil,exported_to,Paraguay,060319,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies",kg,243.0,243.0,302
2023,Brazil,exported_to,Paraguay,060390,"Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",kg,232.0,232.0,519
2023,Brazil,exported_to,Paraguay,060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",kg,9.601,9.601,29
2023,Brazil,exported_to,Paraguay,070190,"Vegetables; potatoes (other than seed), fresh or chilled",kg,1305575.0,1305575.0,178477
2023,Brazil,exported_to,Paraguay,070200,"Vegetables; tomatoes, fresh or chilled",kg,607638.0,607638.0,82935
2023,Brazil,exported_to,Paraguay,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",kg,2512706.0,2512706.0,276753
2023,Brazil,exported_to,Paraguay,070320,"Vegetables, alliaceous; garlic, fresh or chilled",kg,720.0,720.0,2718
2023,Brazil,exported_to,Paraguay,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",kg,1197311.0,1197311.0,136405
2023,Brazil,exported_to,Paraguay,070519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",kg,29439.0,29439.0,3418
2023,Brazil,exported_to,Paraguay,070610,"Vegetables, root; carrots and turnips, fresh or chilled",kg,35000.0,35000.0,5074
2023,Brazil,exported_to,Paraguay,070690,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",kg,446870.0,446870.0,61630
2023,Brazil,exported_to,Paraguay,070960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",kg,20700.0,20700.0,4099
2023,Brazil,exported_to,Paraguay,070993,"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",kg,313090.0,313090.0,21891
2023,Brazil,exported_to,Paraguay,070999,"Vegetables; edible, n.e.c. in chapter 07, fresh or chilled",kg,1634848.0,1634848.0,80861
2023,Brazil,exported_to,Paraguay,071010,"Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen",kg,1846990.0,1846990.0,141386
2023,Brazil,exported_to,Paraguay,071040,"Vegetables; sweetcorn, uncooked or cooked by steaming or boiling in water, frozen",kg,24560.0,24560.0,2556
2023,Brazil,exported_to,Paraguay,071220,"Vegetables; onions, whole, cut, sliced, broken or in powder but not further prepared, dried",kg,349430.0,349030.0,54777
2023,Brazil,exported_to,Paraguay,071290,"Vegetables; mixtures of vegetables n.e.c. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried",kg,79920.0,79920.0,219922
2023,Brazil,exported_to,Paraguay,071310,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",kg,210.0,210.0,506
2023,Brazil,exported_to,Paraguay,071320,"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried",kg,20000.0,20000.0,51977
2023,Brazil,exported_to,Paraguay,071333,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried",kg,261069.0,261069.0,244308
2023,Brazil,exported_to,Paraguay,071340,"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried",kg,35555.0,35555.0,76932
2023,Brazil,exported_to,Paraguay,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",kg,735540.0,735540.0,105934
2023,Brazil,exported_to,Paraguay,080111,"Nuts, edible; coconuts, desiccated",kg,4701.179,4701.179,21229
2023,Brazil,exported_to,Paraguay,080112,"Nuts, edible; coconuts, in the inner shell (endocarp)",kg,278240.0,278240.0,109508
2023,Brazil,exported_to,Paraguay,080132,"Nuts, edible; cashew nuts, fresh or dried, shelled",kg,4536.0,4536.0,30391
2023,Brazil,exported_to,Paraguay,080390,"Fruit, edible; bananas, other than plantains, fresh or dried",kg,50.0,50.0,505
2023,Brazil,exported_to,Paraguay,080440,"Fruit, edible; avocados, fresh or dried",kg,22255.0,22255.0,6327
2023,Brazil,exported_to,Paraguay,080510,"Fruit, edible; oranges, fresh or dried",kg,971020.0,944020.0,70066
2023,Brazil,exported_to,Paraguay,080550,"Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried",kg,136500.0,136500.0,16215
2023,Brazil,exported_to,Paraguay,080620,"Fruit, edible; grapes, dried",kg,1560.0,1560.0,5429
2023,Brazil,exported_to,Paraguay,080711,"Fruit, edible; watermelons, fresh",kg,1977570.0,1977570.0,139273
2023,Brazil,exported_to,Paraguay,080720,"Fruit, edible; papaws (papayas), fresh",kg,116060.0,116060.0,72936
2023,Brazil,exported_to,Paraguay,081190,"Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter",kg,91914.0,2214.0,10804
2023,Brazil,exported_to,Paraguay,081320,"Fruit, edible; prunes, dried",kg,864.0,864.0,5273
2023,Brazil,exported_to,Paraguay,090111,Coffee; not roasted or decaffeinated,kg,4857400.0,659040.0,1963035
2023,Brazil,exported_to,Paraguay,090121,"Coffee; roasted, not decaffeinated",kg,308736.0,308736.0,2033502
2023,Brazil,exported_to,Paraguay,090122,"Coffee; roasted, decaffeinated",kg,4269.0,4269.0,45801
2023,Brazil,exported_to,Paraguay,090190,"Coffee; husks and skins, coffee substitutes containing coffee in any proportion",kg,720.0,720.0,4380
2023,Brazil,exported_to,Paraguay,090210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",kg,1.0,1.0,111
2023,Brazil,exported_to,Paraguay,090300,Mate,kg,118624.0,118624.0,267684
2023,Brazil,exported_to,Paraguay,090411,"Spices; pepper (of the genus piper), neither crushed nor ground",kg,53500.0,53500.0,174020
2023,Brazil,exported_to,Paraguay,090412,"Spices; pepper (of the genus piper), crushed or ground",kg,2500.0,2500.0,8280
2023,Brazil,exported_to,Paraguay,090421,"Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground",kg,90.0,90.0,860
2023,Brazil,exported_to,Paraguay,090422,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",kg,12650.0,12650.0,26719
2023,Brazil,exported_to,Paraguay,090620,"Spices; cinnamon and cinnamon-tree flowers, crushed or ground",kg,9200.0,9200.0,29855
2023,Brazil,exported_to,Paraguay,090710,"Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground",kg,300.0,300.0,3363
2023,Brazil,exported_to,Paraguay,090811,"Spices; nutmeg, neither crushed nor ground",kg,5.0,5.0,147
2023,Brazil,exported_to,Paraguay,090812,"Spices; nutmeg, crushed or ground",kg,720.0,720.0,10672
2023,Brazil,exported_to,Paraguay,090921,"Spices; coriander seeds, neither crushed nor ground",kg,25.0,25.0,126
2023,Brazil,exported_to,Paraguay,090931,"Spices; cumin seeds, neither crushed nor ground",kg,500.0,500.0,4600
2023,Brazil,exported_to,Paraguay,090932,"Spices; cumin seeds, crushed or ground",kg,5000.0,5000.0,12760
2023,Brazil,exported_to,Paraguay,090961,"Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground",kg,5200.0,5200.0,18660
2023,Brazil,exported_to,Paraguay,091011,"Spices; ginger, neither crushed nor ground",kg,30766.0,30766.0,17263
2023,Brazil,exported_to,Paraguay,091020,Spices; saffron,kg,53.0,53.0,355
2023,Brazil,exported_to,Paraguay,091030,Spices; turmeric (curcuma),kg,2000.0,2000.0,4420
2023,Brazil,exported_to,Paraguay,091099,Spices; n.e.c. in heading no. 0910,kg,710.0,710.0,2388
2023,Brazil,exported_to,Paraguay,100111,"Cereals; wheat and meslin, durum wheat, seed",kg,200000.0,200000.0,139575
2023,Brazil,exported_to,Paraguay,100191,"Cereals; wheat and meslin, other than durum wheat, seed",kg,10015.0,10015.0,11012
2023,Brazil,exported_to,Paraguay,100199,"Cereals; wheat and meslin, other than durum wheat, other than seed",kg,189010.0,189010.0,46028
2023,Brazil,exported_to,Paraguay,100490,"Cereals; oats, other than seed",kg,175000.0,175000.0,119000
2023,Brazil,exported_to,Paraguay,100510,"Cereals; maize (corn), seed",kg,18137565.0,18138893.0,95699463
2023,Brazil,exported_to,Paraguay,100590,"Cereals; maize (corn), other than seed",kg,2026232.0,2026232.0,669677
2023,Brazil,exported_to,Paraguay,100610,Cereals; rice in the husk (paddy or rough),kg,146960.0,146960.0,53741
2023,Brazil,exported_to,Paraguay,100620,Cereals; husked (brown) rice,kg,66362.0,66362.0,55011
2023,Brazil,exported_to,Paraguay,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",kg,195498.0,195498.0,156837
2023,Brazil,exported_to,Paraguay,100710,"Cereals; grain sorghum, seed",kg,108162.0,108162.0,506556
2023,Brazil,exported_to,Paraguay,100821,"Cereals; millet, seed",kg,56220.0,56220.0,251508
2023,Brazil,exported_to,Paraguay,100830,Cereals; canary seeds,kg,8250.0,8250.0,12919
2023,Brazil,exported_to,Paraguay,100850,Cereals; quinoa (Chenopodium quinoa),kg,11.0,11.0,38
2023,Brazil,exported_to,Paraguay,100890,Cereals; n.e.c. in chapter 10,kg,13025.0,13025.0,16679
2023,Brazil,exported_to,Paraguay,110220,Cereal flour; of maize (corn),kg,68849.0,68849.0,42151
2023,Brazil,exported_to,Paraguay,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",kg,5755.0,5755.0,5926
2023,Brazil,exported_to,Paraguay,110311,Cereal groats and meal; of wheat,kg,300.0,300.0,424
2023,Brazil,exported_to,Paraguay,110313,Cereal groats and meal; of maize (corn),kg,3322046.0,3322046.0,1126111
2023,Brazil,exported_to,Paraguay,110320,Cereal pellets,kg,1296.0,1296.0,1440
2023,Brazil,exported_to,Paraguay,110412,"Cereal grains; rolled or flaked, of oats",kg,455707.0,455707.0,601387
2023,Brazil,exported_to,Paraguay,110419,"Cereal grains; rolled or flaked, other than oats",kg,8629.0,8629.0,8108
2023,Brazil,exported_to,Paraguay,110423,"Cereal grains; worked (e.g. hulled, pearled, sliced or kibbled) of maize (corn)",kg,7830.0,7830.0,8829
2023,Brazil,exported_to,Paraguay,110429,"Cereal grains; worked, other than rolled or flaked (e.g. Hulled, pearled, sliced or kibbled) of cereals, excluding oats and maize, and rice of heading no.1006",kg,24005.0,24005.0,57676
2023,Brazil,exported_to,Paraguay,110520,"Flakes, granules and pellets; of potatoes",kg,36432.0,36432.0,153074
2023,Brazil,exported_to,Paraguay,110620,"Flour, meal and powder; of sago or of roots or tubers of heading no. 0714",kg,61067.0,61067.0,83293
2023,Brazil,exported_to,Paraguay,110630,"Flour, meal and powder; of the products of chapter 8",kg,3565.0,3565.0,18949
2023,Brazil,exported_to,Paraguay,110710,Malt; not roasted,kg,23750.0,23750.0,21279
2023,Brazil,exported_to,Paraguay,110720,Malt; roasted,kg,125.0,125.0,252
2023,Brazil,exported_to,Paraguay,110812,Starch; maize (corn) starch,kg,356266.0,356266.0,287904
2023,Brazil,exported_to,Paraguay,110814,Starch; manioc (cassava),kg,5219721.0,5219721.0,4916818
2023,Brazil,exported_to,Paraguay,110820,Inulin,kg,3.0,3.0,43
2023,Brazil,exported_to,Paraguay,110900,Wheat gluten; whether or not dried,kg,8000.0,8000.0,22400
2023,Brazil,exported_to,Paraguay,120110,"Soya beans; seed, whether or not broken",kg,3406459.0,3406458.0,4170142
2023,Brazil,exported_to,Paraguay,120190,"Soya beans; other than seed, whether or not broken",kg,5000000.0,5000000.0,2235628
2023,Brazil,exported_to,Paraguay,120242,"Ground-nuts; other than seed, not roasted or otherwise cooked, shelled, whether or not broken,",kg,80195.0,80195.0,154086
2023,Brazil,exported_to,Paraguay,120400,"Oil seeds; linseed, whether or not broken",kg,284.0,284.0,1161
2023,Brazil,exported_to,Paraguay,120510,"Oil seeds; low erucic acid rape or colza seeds, whether or not broken",kg,107000.0,107000.0,1636250
