reporter,year,hs_code,applied_tariff,commodity
Paraguay,2021,20743,10.0,"Fatty livers of domestic ducks, fresh or chilled"
Paraguay,2021,20744,10.0,Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers)
Paraguay,2021,20745,10.0,Frozen cuts and edible offal of domestic ducks
Paraguay,2021,20751,10.0,"Fresh or chilled domestic geese, not cut in pieces"
Paraguay,2021,20752,10.0,"Frozen domestic geese, not cut in pieces"
Paraguay,2021,20753,10.0,"Fatty livers of domestic geese, fresh or chilled"
Paraguay,2021,20754,10.0,Fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)
Paraguay,2021,20755,10.0,Frozen cuts and edible offal of domestic geese
Paraguay,2021,20760,10.0,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
Paraguay,2021,20810,10.0,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
Paraguay,2021,20830,10.0,"Fresh, chilled or frozen meat and edible offal of primates"
Paraguay,2021,20840,10.0,"Fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order Cetacea), of manatees and dugongs (mammals of the order Sirenia) and of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Paraguay,2021,20850,10.0,"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles"""
Paraguay,2021,20860,10.0,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]"
Paraguay,2021,20890,10.0,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"" and reptiles)"
Paraguay,2021,20910,6.0,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Paraguay,2021,20990,6.0,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Paraguay,2021,21011,10.0,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
Paraguay,2021,21012,10.0,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
Paraguay,2021,21019,10.0,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
Paraguay,2021,21020,10.0,"Meat of bovine animals, salted, in brine, dried or smoked"
Paraguay,2021,21091,10.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of primates"
Paraguay,2021,21092,10.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Paraguay,2021,21093,10.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
Paraguay,2021,21099,10.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"" and reptiles)"
Paraguay,2021,30111,10.0,Live ornamental freshwater fish
Paraguay,2021,30119,10.0,Live ornamental fish (excl. freshwater)
Paraguay,2021,30191,5.0,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
