reporter,hs_code,bound_tariff,commodity
Paraguay,20890,35.0,"Fresh, chilled or frozen meat and edible offal of pigeons, seals, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", reptiles and frogs' legs)"
Paraguay,20900,35.0,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Paraguay,21011,35.0,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
Paraguay,21012,35.0,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
Paraguay,21019,35.0,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
Paraguay,21020,35.0,"Meat of bovine animals, salted, in brine, dried or smoked"
Paraguay,21091,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
Paraguay,21092,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia"""
Paraguay,21093,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
Paraguay,21099,35.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and reptiles)"
Paraguay,30110,35.0,Live ornamental fish
Paraguay,30191,35.0,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,30192,35.0,"Live eels ""Anguilla spp."""
Paraguay,30193,35.0,Live carp
Paraguay,30199,35.0,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.] and carp)"
Paraguay,30211,35.0,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,30212,35.0,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Paraguay,30219,35.0,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
Paraguay,30221,35.0,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepsis"""
Paraguay,30222,35.0,"Fresh or chilled plaice ""Pleuronectes platessa"""
Paraguay,30223,35.0,"Fresh or chilled sole ""Solea spp."""
Paraguay,30229,35.0,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepsis"", plaice ""Pleuronectes platessa"" and sole ""Solea spp."")"
Paraguay,30231,35.0,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
Paraguay,30232,35.0,"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
Paraguay,30233,35.0,Fresh or chilled skipjack or stripe-bellied bonito
Paraguay,30234,35.0,"Fresh or chilled bigeye tunas ""Thunnus obesus"""
Paraguay,30235,35.0,"Fresh or chilled bluefin tunas ""Thunnus thynnus"""
Paraguay,30236,35.0,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
Paraguay,30239,35.0,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)"
Paraguay,30240,35.0,"Fresh or chilled herrings ""Clupea harengus, clupea pallasii"""
Paraguay,30250,35.0,"Fresh or chilled cod ""gadus morhua, gadus ogac, gadus macrocephalus"""
Paraguay,30261,35.0,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Paraguay,30262,35.0,"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
Paraguay,30263,35.0,"Fresh or chilled coalfish ""Pollachius virens"""
Paraguay,30264,35.0,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Paraguay,30265,35.0,Fresh or chilled dogfish and other sharks
Paraguay,30266,35.0,"Fresh or chilled eels ""Anguilla spp."""
Paraguay,30269,35.0,"Fresh or chilled freshwater and saltwater fish (excl. salmonidae, flat fish, tunas, skipjack or stripe-bellied bonito, herrings, cod, sardines, sardinella, brisling or sprats, haddock, coalfish, mackerel, sharks and eels)"
Paraguay,30270,35.0,Fresh or chilled fish livers and roes
Paraguay,30311,35.0,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
Paraguay,30319,35.0,"Frozen Pacific salmon ""Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"" (excl. sockeye salmon [red salmon] ""Oncorhynchus nerka"")"
Paraguay,30321,35.0,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,30322,35.0,"Frozen Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Paraguay,30329,35.0,"Frozen salmonidae (excl. Pacific salmon, Atlantic salmon, Danube salmon and trout)"
Paraguay,30331,35.0,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Paraguay,30332,35.0,"Frozen plaice ""Pleuronectes platessa"""
Paraguay,30333,35.0,"Frozen sole ""Solea spp."""
Paraguay,30339,35.0,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae und Citharidae"" (excl. halibut, plaice and sole)"
Paraguay,30341,35.0,"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
Paraguay,30342,35.0,"Frozen yellowfin tunas ""Thunnus albacares"""
Paraguay,30343,35.0,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
Paraguay,30344,35.0,"Frozen bigeye tunas ""Thunnus obesus"""
Paraguay,30345,35.0,"Frozen bluefin tunas ""Thunnus thynnus"""
Paraguay,30346,35.0,"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
Paraguay,30349,35.0,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus and Thunnus maccoyii)"
Paraguay,30350,35.0,"Frozen herrings ""Clupea harengus, Clupea pallasii"""
Paraguay,30360,35.0,"Frozen cod ""Gadus morhua, Gadus ogac and Gadus macrocephalus"""
Paraguay,30371,35.0,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."" and brisling or sprats ""Sprattus sprattus"""
Paraguay,30372,35.0,"Frozen haddock ""Melanogrammus aeglefinus"""
Paraguay,30373,35.0,"Frozen coalfish ""Pollachius virens"""
Paraguay,30374,35.0,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Paraguay,30375,35.0,Frozen dogfish and other sharks
Paraguay,30376,35.0,"Frozen eels ""Anguilla spp."""
Paraguay,30377,35.0,"Frozen sea bass ""Dicentrarchus labrax, Dicentrarchus punctatus"""
Paraguay,30378,35.0,"Frozen hake ""Merluccius spp., Urophycis spp."""
Paraguay,30379,35.0,"Frozen freshwater and saltwater fish (excl. salmonidae, flat fish, tunas, skipjack or stripe-bellied bonito, herrings, cod, sardines, sardinella, brisling or sprats, haddock, coalfish, mackerel, dogfish and other sharks, eels, sea bass and hake)"
Paraguay,30380,35.0,Frozen fish livers and roes
Paraguay,30410,35.0,"Fresh or chilled fillets and other fish meat, whether or not minced"
Paraguay,30420,35.0,Frozen fish fillets
Paraguay,30490,35.0,"Frozen fish meat, whether or not minced (excl. fillets)"
Paraguay,30510,35.0,"Flours, meals and pellets of fish, fit for human consumption"
Paraguay,30520,35.0,"Fish livers and roes, dried, smoked, salted or in brine"
Paraguay,30530,35.0,"Fish fillets, dried, salted or in brine, not smoked"
Paraguay,30541,35.0,"Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"", smoked, incl. fillets"
Paraguay,30542,35.0,"Herrings ""Clupea harengus, Clupea pallasii"", smoked, incl. fillets"
Paraguay,30549,35.0,"Smoked fish, incl. fillets (excl. Pacific salmon, Atlantic salmon, Danube salmon and herrings)"
Paraguay,30551,35.0,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", whether or not salted, not smoked (excl. fillets)"
Paraguay,30559,35.0,"Dried fish, salted, not smoked (excl. cod and other fillets)"
Paraguay,30561,35.0,"Herrings ""Clupea harengus, Clupea pallasii"", salted or in brine only (excl. fillets)"
Paraguay,30562,35.0,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", salted or in brine only (excl. fillets)"
Paraguay,30563,35.0,"Anchovies ""Engraulis spp."", salted or in brine only (excl. fillets)"
Paraguay,30569,35.0,"Fish, salted or in brine only (excl. herrings, cod, anchovies and fillets in general)"
Paraguay,30611,35.0,"Frozen rock lobster and other sea crawfish ""Palinurus spp."", ""Panulirus spp."" and ""Jasus spp."", whether in shell or not, incl. rock lobster and other sea crawfish in shell, cooked by steaming or by boiling in water"
Paraguay,30612,35.0,"Frozen lobsters ""Homarus spp."", whether in shell or not, incl. lobsters in shell, cooked by steaming or by boiling in water"
Paraguay,30613,35.0,"Frozen shrimps and prawns, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water"
Paraguay,30614,35.0,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water"
