hs_4_code,reporter,ave_itic_rate
7117,Brazil,1.0178333333333334
7201,Brazil,1.0186666666666666
7202,Brazil,1.0301666666666667
7204,Brazil,1.1055
7207,Brazil,1.0431666666666666
7209,Brazil,1.0043333333333333
7210,Brazil,1.028
7213,Brazil,1.0445
7214,Brazil,1.0918333333333334
7216,Brazil,1.106
7217,Brazil,1.1881666666666666
7219,Brazil,1.0386666666666666
7304,Brazil,1.0631666666666666
7306,Brazil,1.0171666666666666
7307,Brazil,1.0418333333333332
7308,Brazil,1.0896666666666668
7309,Brazil,1.0756666666666665
7310,Brazil,1.087
7311,Brazil,1.2063333333333335
7312,Brazil,1.172
7313,Brazil,1.0285
7314,Brazil,1.0073333333333334
7315,Brazil,1.091
7317,Brazil,1.002
7318,Brazil,1.0156666666666665
7319,Brazil,1.002
7320,Brazil,1.0198333333333334
7321,Brazil,1.0193333333333332
7323,Brazil,1.0328333333333333
7325,Brazil,1.0196666666666665
7326,Brazil,1.024
7404,Brazil,1.0111666666666668
7407,Brazil,1.045
7408,Brazil,1.135
7409,Brazil,1.0119999999999998
7412,Brazil,1.006
7413,Brazil,1.0075
7415,Brazil,1.0205
7602,Brazil,1.0246666666666666
7604,Brazil,1.0585
7606,Brazil,1.0488333333333333
7607,Brazil,1.0156666666666665
7609,Brazil,1.0181666666666667
7610,Brazil,1.1153333333333333
7612,Brazil,1.08
7614,Brazil,1.013
7616,Brazil,1.0143333333333333
7801,Brazil,1.0094999999999998
7804,Brazil,1.0555
8104,Brazil,1.0361666666666667
8111,Brazil,1.198
8201,Brazil,1.061
8205,Brazil,1.0583333333333333
8207,Brazil,1.1486666666666665
8208,Brazil,1.0978333333333332
8307,Brazil,1.0573333333333332
8308,Brazil,1.008
8309,Brazil,1.0496666666666667
8311,Brazil,1.0298333333333334
8410,Brazil,1.027
8413,Brazil,1.0173333333333334
8414,Brazil,1.0736666666666668
8416,Brazil,1.0311666666666666
8417,Brazil,1.0211666666666666
8418,Brazil,1.0155
8419,Brazil,1.0035
8420,Brazil,1.019
8421,Brazil,1.0725
8422,Brazil,1.0454999999999999
8424,Brazil,1.0088333333333332
8425,Brazil,1.0373333333333334
8428,Brazil,1.0058333333333334
8430,Brazil,1.0403333333333333
8431,Brazil,1.0286666666666666
8432,Brazil,1.0526666666666666
8433,Brazil,1.0955000000000001
8437,Brazil,1.0115
8438,Brazil,1.0555
8440,Brazil,1.175
8441,Brazil,1.0268333333333333
8442,Brazil,1.026
8447,Brazil,1.0435
8448,Brazil,1.0054999999999998
8451,Brazil,1.1671666666666667
8452,Brazil,1.004
8453,Brazil,1.0701666666666667
8456,Brazil,1.0231666666666666
8465,Brazil,1.1263333333333334
8473,Brazil,1.1406666666666667
8474,Brazil,1.007
8477,Brazil,1.0171666666666666
8478,Brazil,1.0888333333333333
8480,Brazil,1.0508333333333333
8481,Brazil,1.003
8482,Brazil,1.01
8483,Brazil,1.001
8501,Brazil,1.01
8503,Brazil,1.0465
8504,Brazil,1.0835
8507,Brazil,1.0625
8508,Brazil,1.06
8511,Brazil,1.2303333333333333
8512,Brazil,1.0311666666666666
8513,Brazil,1.0614999999999999
8515,Brazil,1.005
8517,Brazil,1.0578333333333332
8518,Brazil,1.0366666666666666
8521,Brazil,1.0631666666666666
8523,Brazil,1.0081666666666667
8525,Brazil,1.007
8527,Brazil,1.0134999999999998
8528,Brazil,1.049
8529,Brazil,1.1688333333333334
8531,Brazil,1.012
8535,Brazil,1.019
8536,Brazil,1.1326666666666667
8537,Brazil,1.0425
8538,Brazil,1.2346666666666668
8539,Brazil,1.01
8541,Brazil,1.0118333333333334
8542,Brazil,1.0065
8543,Brazil,1.0254999999999999
8544,Brazil,1.0093333333333334
8545,Brazil,1.0625
8546,Brazil,1.0998333333333334
8547,Brazil,1.0478333333333334
8548,Brazil,1.0574999999999999
8608,Brazil,1.0275
8704,Brazil,1.0301666666666667
8708,Brazil,1.0076666666666665
8711,Brazil,1.0296666666666667
8712,Brazil,1.0233333333333332
8714,Brazil,1.0408333333333333
8716,Brazil,1.018
9001,Brazil,1.16
9002,Brazil,1.0435
9003,Brazil,1.002
9004,Brazil,1.007
9018,Brazil,1.0068333333333332
9019,Brazil,1.0603333333333333
9021,Brazil,1.012
9022,Brazil,1.0075
9026,Brazil,1.014
9029,Brazil,1.0188333333333333
9030,Brazil,1.0365
9031,Brazil,1.0136666666666667
9032,Brazil,1.0085
9033,Brazil,1.0565
9202,Brazil,1.0251666666666666
9205,Brazil,1.004
9206,Brazil,1.042
9207,Brazil,1.0146666666666666
9209,Brazil,1.0505
9401,Brazil,1.0046666666666666
9403,Brazil,1.0675000000000001
9404,Brazil,1.0114999999999998
9405,Brazil,1.0068333333333332
9503,Brazil,1.0376666666666667
9504,Brazil,1.005
9506,Brazil,1.0343333333333333
9507,Brazil,1.0054999999999998
9508,Brazil,1.0519999999999998
9602,Brazil,1.1268333333333334
9603,Brazil,1.018
9606,Brazil,1.0068333333333332
9607,Brazil,1.0163333333333333
9608,Brazil,1.144
9614,Brazil,1.019
9618,Brazil,1.0913333333333333
9701,Brazil,1.0756666666666665
