hs_4_code,reporter,ave_itic_rate
101,Brazil,1.026
102,Brazil,1.005
201,Brazil,1.013
202,Brazil,1.0093333333333332
203,Brazil,1.01
206,Brazil,1.0334999999999999
209,Brazil,1.028
210,Brazil,1.037
303,Brazil,1.005
401,Brazil,1.0626666666666666
402,Brazil,1.0113333333333332
406,Brazil,1.0261666666666667
504,Brazil,1.0193333333333332
510,Brazil,1.0131666666666665
511,Brazil,1.1893333333333334
703,Brazil,1.0101666666666667
713,Brazil,1.0543333333333333
714,Brazil,1.1313333333333333
801,Brazil,1.01
814,Brazil,1.0193333333333332
902,Brazil,1.019
903,Brazil,1.014
904,Brazil,1.03
909,Brazil,1.0148333333333333
910,Brazil,1.0534999999999999
1001,Brazil,1.065
1004,Brazil,1.0598333333333334
1005,Brazil,1.0773333333333335
1006,Brazil,1.058
1007,Brazil,1.0638333333333334
1008,Brazil,1.079
1101,Brazil,1.0441666666666667
1102,Brazil,1.023
1103,Brazil,1.0453333333333334
1104,Brazil,1.013
1108,Brazil,1.0261666666666667
1201,Brazil,1.0305
1202,Brazil,1.0253333333333334
1205,Brazil,1.0658333333333332
1206,Brazil,1.0648333333333333
1207,Brazil,1.0268333333333333
1208,Brazil,1.038
1209,Brazil,1.0816666666666668
1211,Brazil,1.019
1212,Brazil,1.0245
1213,Brazil,1.2345
1502,Brazil,1.0451666666666666
1506,Brazil,1.0355
1507,Brazil,1.0491666666666666
1512,Brazil,1.0376666666666667
1513,Brazil,1.0331666666666666
1514,Brazil,1.0411666666666666
1515,Brazil,1.0298333333333334
1516,Brazil,1.0523333333333333
1522,Brazil,1.0718333333333334
1602,Brazil,1.018
1701,Brazil,1.0511666666666668
1806,Brazil,1.0195
1901,Brazil,1.0568333333333333
1902,Brazil,1.0458333333333334
1905,Brazil,1.0171666666666666
2002,Brazil,1.003
2005,Brazil,1.0716666666666665
2007,Brazil,1.006
2008,Brazil,1.0128333333333333
2009,Brazil,1.0238333333333334
2101,Brazil,1.1395
2102,Brazil,1.0581666666666667
2103,Brazil,1.2233333333333334
2105,Brazil,1.0443333333333333
2106,Brazil,1.0373333333333334
2201,Brazil,1.1108333333333333
2202,Brazil,1.0543333333333333
2203,Brazil,1.1618333333333333
2207,Brazil,1.056
2208,Brazil,1.0533333333333335
2301,Brazil,1.0788333333333333
2302,Brazil,1.0691666666666666
2304,Brazil,1.0425
2306,Brazil,1.0475
2309,Brazil,1.0501666666666667
2401,Brazil,1.0465
2403,Brazil,1.0165
2501,Brazil,1.0956666666666666
2526,Brazil,1.08
2619,Brazil,1.1978333333333333
2710,Brazil,1.0246666666666666
2712,Brazil,1.0705
2716,Brazil,1.0693333333333335
2801,Brazil,1.0833333333333333
2804,Brazil,1.01
2806,Brazil,1.2043333333333333
2809,Brazil,1.005
2811,Brazil,1.1676666666666666
2815,Brazil,1.1346666666666667
2829,Brazil,1.0665
2840,Brazil,1.0505
2849,Brazil,1.1148333333333333
2905,Brazil,1.025
2906,Brazil,1.0101666666666667
2909,Brazil,1.0741666666666667
2915,Brazil,1.047
2927,Brazil,1.004
2932,Brazil,1.0111666666666668
2933,Brazil,1.039
2938,Brazil,1.023
2939,Brazil,1.0398333333333334
2941,Brazil,1.05
3002,Brazil,1.0233333333333332
3004,Brazil,1.0098333333333331
3102,Brazil,1.005
3104,Brazil,1.0063333333333333
3105,Brazil,1.0088333333333332
3204,Brazil,1.054
3206,Brazil,1.1078333333333334
3207,Brazil,1.0105
3208,Brazil,1.0091666666666665
3209,Brazil,1.0165
3214,Brazil,1.0383333333333333
3215,Brazil,1.0091666666666665
3301,Brazil,1.016
3302,Brazil,1.038
3304,Brazil,1.1701666666666666
3305,Brazil,1.02
3401,Brazil,1.0786666666666667
3402,Brazil,1.0153333333333332
3405,Brazil,1.011
3406,Brazil,1.0153333333333332
3505,Brazil,1.0301666666666667
3506,Brazil,1.0476666666666665
3507,Brazil,1.0174999999999998
3802,Brazil,1.0418333333333334
3808,Brazil,1.0045
3814,Brazil,1.0626666666666666
3823,Brazil,1.0826666666666667
