reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,20745,8.0,Frozen cuts and edible offal of domestic ducks
Brazil,2023,20751,8.0,"Fresh or chilled domestic geese, not cut in pieces"
Brazil,2023,20752,8.0,"Frozen domestic geese, not cut in pieces"
Brazil,2023,20753,8.0,"Fatty livers of domestic geese, fresh or chilled"
Brazil,2023,20754,8.0,Fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)
Brazil,2023,20755,8.0,Frozen cuts and edible offal of domestic geese
Brazil,2023,20760,8.0,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
Brazil,2023,20810,8.0,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
Brazil,2023,20830,8.0,"Fresh, chilled or frozen meat and edible offal of primates"
Brazil,2023,20840,8.0,"Fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order Cetacea), of manatees and dugongs (mammals of the order Sirenia) and of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Brazil,2023,20850,8.0,"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles"""
Brazil,2023,20860,8.0,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]"
Brazil,2023,20890,8.0,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"", reptiles and insects)"
Brazil,2023,20910,4.8,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Brazil,2023,20990,4.8,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
Brazil,2023,21011,8.0,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
Brazil,2023,21012,8.0,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
Brazil,2023,21019,8.0,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
Brazil,2023,21020,8.0,"Meat of bovine animals, salted, in brine, dried or smoked"
Brazil,2023,21091,8.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of primates"
Brazil,2023,21092,8.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
Brazil,2023,21093,8.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
Brazil,2023,21099,8.0,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"", reptiles and insects)"
Brazil,2023,30111,8.0,Live ornamental freshwater fish
Brazil,2023,30119,8.0,Live ornamental fish (excl. freshwater)
Brazil,2023,30191,4.0,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,2023,30192,4.0,"Live eels ""Anguilla spp."""
Brazil,2023,30193,4.0,"Live carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Brazil,2023,30194,4.0,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Brazil,2023,30195,4.0,"Live southern bluefin tunas ""Thunnus maccoyii"""
