hs_code,br_x_q,br_x_unit,py_m_q,py_m_unit,br_x_nt_wgt,py_m_nt_wgt,br_x_value,itic_rate,applied_tariff,adj_x_value,py_m_value,trade_gap,est_tax_loss,wgt_gap,value_ratio,wgt_ratio,density
070200,607638.0,kg,1042040.0,kg,607638.0,1042040.0,82935.0,1.05,10.0,86932.47,131565.86,-44633.39,-4463.34,-434402.0,1.51,1.71,0.88
070310,2512706.0,kg,3186666.0,kg,2512706.0,3186666.0,276753.0,1.04,5.0,288210.57,316330.5,-28119.93,-1406.0,-673960.0,1.1,1.27,0.87
070320,720.0,kg,720.36,kg,720.0,720.36,2718.0,1.04,5.0,2830.53,2717.16,113.37,5.67,-0.36,0.96,1.0,0.96
070410,0.0,NR,287264.0,kg,0.0,287264.0,0.0,1.05,10.0,0.0,65987.4,-65987.4,-6598.74,-287264.0,NXR,NXR,
070420,0.0,NR,47000.0,kg,0.0,47000.0,0.0,1.05,10.0,0.0,3055.0,-3055.0,-305.5,-47000.0,NXR,NXR,
070490,1197311.0,kg,4835830.0,kg,1197311.0,4835830.0,136405.0,1.05,10.0,143279.81,611057.11,-467777.3,-46777.73,-3638519.0,4.26,4.04,1.06
070511,0.0,NR,85690.0,kg,0.0,85690.0,0.0,1.05,10.0,0.0,13718.9,-13718.9,-1371.89,-85690.0,NXR,NXR,
070519,29439.0,kg,288900.0,kg,29439.0,288900.0,3418.0,1.05,10.0,3588.9,66612.75,-63023.85,-6302.38,-259461.0,18.56,9.81,1.89
070610,35000.0,kg,460501.0,kg,35000.0,460501.0,5074.0,1.05,10.0,5322.63,68516.42,-63193.79,-6319.38,-425501.0,12.87,13.16,0.98
070690,446870.0,kg,2416520.0,kg,446870.0,2416520.0,61630.0,1.05,10.0,64649.87,332756.71,-268106.84,-26810.68,-1969650.0,5.15,5.41,0.95
070700,0.0,NR,28010.0,kg,0.0,28010.0,0.0,1.05,10.0,0.0,5631.15,-5631.15,-563.12,-28010.0,NXR,NXR,
070820,0.0,NR,4653.0,kg,0.0,4653.0,0.0,1.05,10.0,0.0,894.0,-894.0,-89.4,-4653.0,NXR,NXR,
070930,0.0,NR,6615.0,kg,0.0,6615.0,0.0,1.05,10.0,0.0,1180.8,-1180.8,-118.08,-6615.0,NXR,NXR,
070940,0.0,NR,2152.0,kg,0.0,2152.0,0.0,1.05,10.0,0.0,546.0,-546.0,-54.6,-2152.0,NXR,NXR,
070960,20700.0,kg,343984.0,kg,20700.0,343984.0,4099.0,1.05,10.0,4307.23,86499.4,-82192.17,-8219.22,-323284.0,20.08,16.62,1.21
071010,1846990.0,kg,2500.0,kg,1846990.0,2500.0,141386.0,1.04,10.0,147720.09,130.0,147590.09,14759.01,1844490.0,NMR,NMR,0.65
071290,79920.0,kg,80264.13,kg,79920.0,80264.13,219922.0,1.05,10.0,230786.15,221216.2,9569.95,956.99,-344.13,0.96,1.0,0.95
071310,210.0,kg,210.0,kg,210.0,210.0,506.0,1.07,5.0,539.8,505.69,34.11,1.71,0.0,0.94,1.0,0.94
071320,20000.0,kg,20243.4,kg,20000.0,20243.4,51977.0,1.07,5.0,55449.06,51975.66,3473.4,173.67,-243.4,0.94,1.01,0.93
071333,261069.0,kg,203506.52,kg,261069.0,203506.52,244308.0,1.07,5.0,260627.77,237183.75,23444.02,1172.2,57562.48,0.91,0.78,1.17
071340,35555.0,kg,36031.8,kg,35555.0,36031.8,76932.0,1.07,5.0,82071.06,76965.83,5105.23,255.26,-476.8,0.94,1.01,0.93
071410,0.0,NR,14000.0,kg,0.0,14000.0,0.0,1.05,10.0,0.0,2100.0,-2100.0,-210.0,-14000.0,NXR,NXR,
071420,735540.0,kg,3471430.0,kg,735540.0,3471430.0,105934.0,1.05,10.0,111230.7,468905.08,-357674.38,-35767.44,-2735890.0,4.22,4.72,0.89
080111,4701.18,kg,17044.4,kg,4701.18,17044.4,21229.0,1.04,10.0,22035.7,18104.77,3930.93,393.09,-12343.22,0.82,3.63,0.23
080132,4536.0,kg,5103.0,kg,4536.0,5103.0,30391.0,1.04,10.0,31545.86,38869.6,-7323.74,-732.37,-567.0,1.23,1.12,1.1
080410,0.0,NR,145949.0,kg,0.0,145949.0,0.0,1.05,10.0,0.0,13877.74,-13877.74,-1387.77,-145949.0,NXR,NXR,
080430,0.0,NR,1070510.0,kg,0.0,1070510.0,0.0,1.05,10.0,0.0,181002.0,-181002.0,-18100.2,-1070510.0,NXR,NXR,
080440,22255.0,kg,678610.0,kg,22255.0,678610.0,6327.0,1.05,10.0,6630.7,104255.1,-97624.4,-9762.44,-656355.0,15.72,30.49,0.52
080450,0.0,NR,498897.0,kg,0.0,498897.0,0.0,1.05,10.0,0.0,79494.0,-79494.0,-7949.4,-498897.0,NXR,NXR,
080510,971020.0,kg,2921510.0,kg,944020.0,2921510.0,70066.0,1.05,10.0,73807.52,386673.15,-312865.63,-31286.56,-1977490.0,5.24,3.09,1.69
080540,0.0,NR,3109.0,kg,0.0,3109.0,0.0,1.05,10.0,0.0,513.0,-513.0,-51.3,-3109.0,NXR,NXR,
080550,136500.0,kg,2969860.0,kg,136500.0,2969860.0,16215.0,1.05,10.0,17080.88,449050.26,-431969.38,-43196.94,-2833360.0,26.29,21.76,1.21
080610,0.0,NR,629040.0,kg,0.0,629040.0,0.0,1.05,10.0,0.0,250138.55,-250138.55,-25013.86,-629040.0,NXR,NXR,
080620,1560.0,kg,1560.0,kg,1560.0,1560.0,5429.0,1.05,10.0,5695.02,5429.7,265.32,26.53,0.0,0.95,1.0,0.95
080711,1977570.0,kg,2130930.0,kg,1977570.0,2130930.0,139273.0,1.05,10.0,145679.56,133481.88,12197.68,1219.77,-153360.0,0.92,1.08,0.85
080719,0.0,NR,418224.0,kg,0.0,418224.0,0.0,1.05,10.0,0.0,87690.6,-87690.6,-8769.06,-418224.0,NXR,NXR,
080720,116060.0,kg,1697690.0,kg,116060.0,1697690.0,72936.0,1.05,10.0,76291.06,277154.4,-200863.34,-20086.33,-1581630.0,3.63,14.63,0.25
080810,0.0,NR,135120.0,kg,0.0,135120.0,0.0,1.05,10.0,0.0,21285.9,-21285.9,-2128.59,-135120.0,NXR,NXR,
080930,0.0,NR,246756.0,kg,0.0,246756.0,0.0,1.05,10.0,0.0,67299.65,-67299.65,-6729.96,-246756.0,NXR,NXR,
080940,0.0,NR,402462.0,kg,0.0,402462.0,0.0,1.05,10.0,0.0,109663.8,-109663.8,-10966.38,-402462.0,NXR,NXR,
081010,0.0,NR,37661.0,kg,0.0,37661.0,0.0,1.05,10.0,0.0,15235.2,-15235.2,-1523.52,-37661.0,NXR,NXR,
081040,0.0,NR,31008.0,kg,0.0,31008.0,0.0,1.05,10.0,0.0,8588.25,-8588.25,-858.82,-31008.0,NXR,NXR,
081050,0.0,NR,394985.0,kg,0.0,394985.0,0.0,1.05,10.0,0.0,114980.95,-114980.95,-11498.1,-394985.0,NXR,NXR,
081060,0.0,NR,300.0,kg,0.0,300.0,0.0,1.05,10.0,0.0,40.0,-40.0,-4.0,-300.0,NXR,NXR,
081090,0.0,NR,329952.0,kg,0.0,329952.0,0.0,1.05,10.0,0.0,77455.8,-77455.8,-7745.58,-329952.0,NXR,NXR,
081190,91914.0,kg,2214.1,kg,2214.0,2214.1,10804.0,1.09,10.0,11802.29,10804.2,998.09,99.81,-0.1,0.92,1.0,0.92
081320,864.0,kg,864.0,kg,864.0,864.0,5273.0,1.04,10.0,5499.74,5272.95,226.79,22.68,0.0,0.96,1.0,0.96
090111,4857400.0,kg,633569.08,kg,659040.0,633569.08,1963035.0,1.04,10.0,2044697.26,1902127.73,142569.53,14256.95,25470.92,0.93,0.96,0.97
